sample_id,ablation,label,delta_dice
sample_0977,w/o transport-aware footprint,No footprint,0.026283656871933347
sample_0979,w/o transport-aware footprint,No footprint,0.08799376601913045
sample_1000,w/o transport-aware footprint,No footprint,0.09617529833409622
sample_1002,w/o transport-aware footprint,No footprint,-0.08208658825904214
sample_1003,w/o transport-aware footprint,No footprint,0.07105181444921727
sample_1015,w/o transport-aware footprint,No footprint,0.004664205281006528
sample_1018,w/o transport-aware footprint,No footprint,0.1079332165092951
sample_1028,w/o transport-aware footprint,No footprint,0.012718428603473275
sample_1068,w/o transport-aware footprint,No footprint,-0.2716043515944657
sample_1069,w/o transport-aware footprint,No footprint,-0.1416492745856791
sample_1072,w/o transport-aware footprint,No footprint,0.052983988374569746
sample_1078,w/o transport-aware footprint,No footprint,0.035134654711734714
sample_1081,w/o transport-aware footprint,No footprint,-0.06015601488058597
sample_1085,w/o transport-aware footprint,No footprint,0.03602564278267684
sample_1086,w/o transport-aware footprint,No footprint,0.09920235777952169
sample_1092,w/o transport-aware footprint,No footprint,0.010793582699604176
sample_1093,w/o transport-aware footprint,No footprint,0.04820706563902111
sample_1096,w/o transport-aware footprint,No footprint,0.07863894368446267
sample_1112,w/o transport-aware footprint,No footprint,0.03776240023536914
sample_1126,w/o transport-aware footprint,No footprint,0.09833321982676224
sample_1133,w/o transport-aware footprint,No footprint,0.06373410570048532
sample_1135,w/o transport-aware footprint,No footprint,0.04280106337774403
sample_1139,w/o transport-aware footprint,No footprint,0.06477203196679016
sample_1167,w/o transport-aware footprint,No footprint,0.1215358186111184
sample_1175,w/o transport-aware footprint,No footprint,0.06697957373590324
sample_1185,w/o transport-aware footprint,No footprint,0.012375274215700505
sample_1211,w/o transport-aware footprint,No footprint,0.20498888976834884
sample_1215,w/o transport-aware footprint,No footprint,0.05462597186437168
sample_1230,w/o transport-aware footprint,No footprint,0.08937619914252393
sample_1244,w/o transport-aware footprint,No footprint,0.06203928985654794
sample_1259,w/o transport-aware footprint,No footprint,-0.014232295146469176
sample_1262,w/o transport-aware footprint,No footprint,0.12024014958578111
sample_1266,w/o transport-aware footprint,No footprint,0.1577946217818641
sample_1276,w/o transport-aware footprint,No footprint,0.1211326123153863
sample_1285,w/o transport-aware footprint,No footprint,-0.03287531177842895
sample_1286,w/o transport-aware footprint,No footprint,-0.07648657629863831
sample_1288,w/o transport-aware footprint,No footprint,0.07538261494185061
sample_1292,w/o transport-aware footprint,No footprint,-0.006684536545083275
sample_1319,w/o transport-aware footprint,No footprint,0.08297107286668504
sample_1327,w/o transport-aware footprint,No footprint,-0.10901295526567012
sample_1328,w/o transport-aware footprint,No footprint,0.13449606797319003
sample_1366,w/o transport-aware footprint,No footprint,0.1755221842744138
sample_1372,w/o transport-aware footprint,No footprint,0.15679325027208224
sample_1378,w/o transport-aware footprint,No footprint,-0.04648656094294412
sample_1384,w/o transport-aware footprint,No footprint,-0.059330256726801256
sample_1389,w/o transport-aware footprint,No footprint,0.07455388442616173
sample_1404,w/o transport-aware footprint,No footprint,0.0054791699822078765
sample_1429,w/o transport-aware footprint,No footprint,-0.016390215688872556
sample_1432,w/o transport-aware footprint,No footprint,0.022618547281845314
sample_1438,w/o transport-aware footprint,No footprint,0.10009721089244261
sample_1455,w/o transport-aware footprint,No footprint,0.0016313499269465792
sample_1470,w/o transport-aware footprint,No footprint,-0.11066937145421851
