case,sample_id,ssq_num_foci,ssq_depth_tier,ssq_source_type,ssq_shape_set,ssq_gt_component_count,ssq_pred_component_count,ssq_matched_component_count,ssq_missed_component_count,ssq_false_component_count,ssq_merge_count,ssq_split_count,ssq_component_recall,ssq_component_precision,ssq_mean_matched_iou,ssq_small_component_recall,ssq_method,ssq_dice,ssq_precision,ssq_recall,ssq_success,no_footprint_num_foci,no_footprint_depth_tier,no_footprint_source_type,no_footprint_shape_set,no_footprint_gt_component_count,no_footprint_pred_component_count,no_footprint_matched_component_count,no_footprint_missed_component_count,no_footprint_false_component_count,no_footprint_merge_count,no_footprint_split_count,no_footprint_component_recall,no_footprint_component_precision,no_footprint_mean_matched_iou,no_footprint_small_component_recall,no_footprint_method,no_footprint_dice,no_footprint_precision,no_footprint_recall,no_footprint_success,no_reliability_num_foci,no_reliability_depth_tier,no_reliability_source_type,no_reliability_shape_set,no_reliability_gt_component_count,no_reliability_pred_component_count,no_reliability_matched_component_count,no_reliability_missed_component_count,no_reliability_false_component_count,no_reliability_merge_count,no_reliability_split_count,no_reliability_component_recall,no_reliability_component_precision,no_reliability_mean_matched_iou,no_reliability_small_component_recall,no_reliability_method,no_reliability_dice,no_reliability_precision,no_reliability_recall,no_reliability_success,no_source_cue_num_foci,no_source_cue_depth_tier,no_source_cue_source_type,no_source_cue_shape_set,no_source_cue_gt_component_count,no_source_cue_pred_component_count,no_source_cue_matched_component_count,no_source_cue_missed_component_count,no_source_cue_false_component_count,no_source_cue_merge_count,no_source_cue_split_count,no_source_cue_component_recall,no_source_cue_component_precision,no_source_cue_mean_matched_iou,no_source_cue_small_component_recall,no_source_cue_method,no_source_cue_dice,no_source_cue_precision,no_source_cue_recall,no_source_cue_success,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,source_centers_mm,source_intensities,shape_set,source_type
Adjacent sources,sample_0712,2,shallow,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5488632181104631,,SSQ-FMT,0.7030965391623974,0.6117784451124261,0.826459319360319,True,2,shallow,uniform,irregular+sphere,2,1,1,1,0,1,0,0.5,1.0,0.1491929724325096,,w/o transport-aware footprint,0.4517912428132177,0.2993187312289946,0.9208924949291843,False,2,shallow,uniform,irregular+sphere,2,1,1,1,0,1,0,0.5,1.0,0.1791756659467242,,w/o query-canonical reliability,0.5058876520175626,0.354016570605769,0.8859589812939239,False,2,shallow,uniform,irregular+sphere,2,1,1,1,0,1,0,0.5,1.0,0.2103488249552113,,w/o source-relative query cue,0.4589410158779661,0.3368487660838041,0.7198557583959435,False,2,5.2306787322488075,0.5440330798483055,"[[21.6, 32.800000000000004, 7.2], [21.200000000000003, 35.6, 11.600000000000001]]","[0.8381645075978714, 1.5406498954651426]",,uniform
Three sources with a weak focus,sample_0300,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.4881695623392503,,SSQ-FMT,0.6764667163984043,0.5279452054797753,0.9412626694346792,True,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.484500785381768,,w/o transport-aware footprint,0.6951114338887499,0.5531715070079806,0.935034802784302,True,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.427254590574588,,w/o query-canonical reliability,0.6429837280491207,0.4797163291066291,0.9747221883014108,True,3,shallow,uniform,ellipsoid+irregular,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.440896069995234,,w/o source-relative query cue,0.6345261903750332,0.4869383490076495,0.9104896812798748,False,3,7.090839160494334,0.4186776438536775,"[[24.0, 24.0, 6.6000000000000005], [22.8, 31.0, 4.800000000000001], [23.6, 30.200000000000003, 11.8]]","[1.6740250763885292, 1.4870679549128645, 0.7008768747343219]",,uniform
