sample_id,num_foci,depth_tier,source_type_x,shape_set_x,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method,dice,precision,recall,success,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,source_centers_mm,source_intensities,shape_set_y,source_type_y
sample_0002,1,shallow,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.8015605603830467,,SSQ-FMT,0.8898951616873112,0.8576036429182643,0.9247135842881294,True,1,,1.0,"[[15.4, 33.6, 8.4]]",[1.4124678021121233],,uniform
sample_0006,1,deep,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.845233399079553,,SSQ-FMT,0.916049030786833,0.9418229777257592,0.8916481687015931,True,1,,1.0,"[[21.0, 27.8, 12.4]]",[1.2116405008604454],,uniform
sample_0022,2,shallow,uniform,irregular,2,2,2,0,0,0,0,1.0,1.0,0.46174898198062,,SSQ-FMT,0.6420919974797467,0.4743064606223474,0.9935647425897162,True,2,15.92733499365164,0.9882663017980347,"[[7.800000000000001, 22.400000000000002, 7.800000000000001], [16.400000000000002, 35.800000000000004, 8.200000000000001]]","[1.3721856021857262, 1.3884775790585953]",,uniform
sample_0032,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.8262890158889656,,SSQ-FMT,0.904883081155466,0.9310735262897664,0.8801257609205431,True,1,,1.0,"[[7.800000000000001, 23.0, 6.2]]",[0.925546548147099],,uniform
sample_0038,2,deep,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.6517311777984331,,SSQ-FMT,0.8499488551420844,0.8350985697720641,0.8653368581271607,True,2,16.822603841260722,0.7184231306424439,"[[6.6000000000000005, 33.0, 5.2], [20.400000000000002, 24.0, 8.6]]","[1.706819898828488, 1.2262188951591817]",,uniform
sample_0079,2,medium,uniform,ellipsoid,2,2,2,0,0,0,0,1.0,1.0,0.5238329280536662,,SSQ-FMT,0.6839412565793058,0.5496007098494236,0.9052026500390636,True,2,6.817624219623726,0.659858982559717,"[[19.200000000000003, 32.2, 9.0], [12.600000000000001, 30.6, 9.600000000000001]]","[1.1224453247944517, 0.740655629997778]",,uniform
sample_0096,2,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.7152626442267296,,SSQ-FMT,0.8356892457311796,0.9476788920236628,0.7473705501620678,True,2,9.785703858180057,0.5442071054219149,"[[13.8, 34.2, 5.4], [21.200000000000003, 27.8, 5.2]]","[1.4365330236304819, 0.7817714786329357]",,uniform
sample_0100,2,shallow,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.2756244727673113,,SSQ-FMT,0.4234596654674746,0.2686005909222823,1.0,True,2,7.076722405181652,0.7544995524157119,"[[7.4, 35.4, 9.0], [9.8, 29.8, 12.600000000000001]]","[1.7608346644341792, 1.3285489661936585]",,uniform
sample_0108,1,deep,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.4651240778001341,,SSQ-FMT,0.634927901121747,1.0,0.4651240778005825,True,1,,1.0,"[[23.400000000000002, 23.6, 11.4]]",[0.7687044286973467],,uniform
sample_0113,3,medium,uniform,ellipsoid,3,3,3,0,0,0,0,1.0,1.0,0.5258403423473106,,SSQ-FMT,0.6857579877636932,0.6047661870509521,0.7917974882264682,True,3,12.414507642270799,0.7833684824356897,"[[14.200000000000001, 24.0, 3.8000000000000003], [28.200000000000003, 27.200000000000003, 9.4], [9.0, 34.2, 8.6]]","[0.9570768000656917, 0.855428235469585, 0.749743800441867]",,uniform
sample_0122,3,deep,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.557492767933069,,SSQ-FMT,0.6915035762007029,0.6214154541604595,0.7794117647060778,False,3,4.707440918375929,0.5002942963886573,"[[18.6, 25.8, 12.200000000000001], [22.200000000000003, 32.0, 9.200000000000001], [20.200000000000003, 24.400000000000002, 8.0]]","[1.6764241341808352, 0.838705432658965, 0.8450994520540722]",,uniform
sample_0128,3,deep,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.7355292903121643,,SSQ-FMT,0.8573063352300272,0.9065546218488024,0.813133140376379,True,3,8.395236744726144,0.4619309934763417,"[[7.6000000000000005, 21.8, 9.600000000000001], [18.6, 27.8, 11.600000000000001], [10.4, 29.6, 11.600000000000001]]","[0.6939152759346308, 0.9641089215418889, 1.5022054933193618]",,uniform
sample_0130,2,shallow,uniform,ellipsoid+sphere,2,1,1,1,0,0,0,0.5,1.0,0.8702727481090993,,SSQ-FMT,0.9066380133715934,0.9578708375378936,0.8606074342703302,False,2,5.299056519796706,0.4940620372353948,"[[6.800000000000001, 23.200000000000003, 11.0], [9.4, 27.8, 11.4]]","[0.8375512262310378, 1.6952349363203316]",,uniform
sample_0158,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7893926432848588,,SSQ-FMT,0.8821954484606214,0.8308717579253767,0.9402772115777818,True,1,,1.0,"[[8.200000000000001, 27.8, 14.0]]",[1.5782075491871324],,uniform
sample_0163,3,deep,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.5885210595599875,,SSQ-FMT,0.7785094992183738,0.6849520633599959,0.9016681299386504,True,3,7.166589146867566,0.7240398375695541,"[[27.0, 29.0, 7.0], [13.8, 24.6, 5.6000000000000005], [28.6, 35.4, 9.8]]","[1.1725177615151223, 1.6194105637212064, 1.4204568669964528]",,uniform
sample_0180,1,medium,uniform,sphere,1,1,1,0,0,0,0,1.0,1.0,0.4505928853754941,,SSQ-FMT,0.6212534059948729,0.4505928853761727,1.0,True,1,,1.0,"[[15.0, 29.8, 9.4]]",[1.324300285083603],,uniform
sample_0187,3,medium,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.4901459994306915,,SSQ-FMT,0.8387824126268608,0.9793973839274608,0.7334752128193123,True,3,10.947145746723205,0.641405643838162,"[[11.4, 21.200000000000003, 7.0], [24.400000000000002, 34.6, 11.200000000000001], [8.200000000000001, 31.6, 5.800000000000001]]","[1.7643973946152292, 1.743805780936086, 1.1316944468795567]",,uniform
sample_0189,3,shallow,uniform,irregular+sphere,3,3,2,1,1,0,0,0.6666666666666666,0.6666666666666666,0.7129198234117458,,SSQ-FMT,0.8265684715597327,0.7918225547836495,0.8645037054327686,False,3,9.368030742904295,0.5103080462792021,"[[13.4, 31.8, 8.4], [18.6, 21.200000000000003, 7.4], [22.400000000000002, 31.8, 5.800000000000001]]","[1.1753705826181304, 1.668726439313314, 0.8515645290204268]",,uniform
sample_0192,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.3152739043077984,,SSQ-FMT,0.6262897730001313,0.4705415735202491,0.9361549497848836,False,3,4.565084884205331,0.7657735417057048,"[[10.8, 29.6, 8.0], [20.8, 25.6, 10.200000000000001], [10.8, 25.6, 5.800000000000001]]","[0.9873450938886968, 1.2893434417823546, 1.0064862056175317]",,uniform
sample_0207,2,medium,uniform,irregular+sphere,2,1,1,1,0,0,0,0.5,1.0,0.6738254321773253,,SSQ-FMT,0.7960532498042926,0.9086813501144818,0.7082659829442571,False,2,7.515317691222377,0.9620049928258332,"[[19.6, 34.800000000000004, 10.600000000000001], [16.0, 28.400000000000002, 9.0]]","[0.9810117749453144, 1.0197574672285743]",,uniform
