sample_id,num_foci,depth_tier,source_type,shape_set,gt_component_count,pred_component_count,matched_component_count,missed_component_count,false_component_count,merge_count,split_count,component_recall,component_precision,mean_matched_iou,small_component_recall,method
sample_0456,3,medium,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.5166356352133488,,SSQ-FMT
sample_0458,1,deep,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7914285714285715,,SSQ-FMT
sample_0469,3,shallow,uniform,ellipsoid+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.3849812785038207,,SSQ-FMT
sample_0472,1,shallow,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.7842401500938087,,SSQ-FMT
sample_0473,3,medium,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.6322021662518124,,SSQ-FMT
sample_0511,2,deep,uniform,ellipsoid+irregular,2,2,2,0,0,0,0,1.0,1.0,0.6573448199690745,,SSQ-FMT
sample_0521,3,medium,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.6169930325944589,,SSQ-FMT
sample_0525,3,medium,uniform,ellipsoid+irregular,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.4940569655500711,,SSQ-FMT
sample_0535,2,medium,uniform,ellipsoid+sphere,1,1,1,0,0,0,0,1.0,1.0,0.7021744757960134,,SSQ-FMT
sample_0536,2,deep,uniform,sphere,2,2,2,0,0,0,0,1.0,1.0,0.5338153419614093,,SSQ-FMT
sample_0541,1,shallow,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.764816076294278,,SSQ-FMT
sample_0566,3,medium,uniform,irregular+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.4436423146640789,,SSQ-FMT
sample_0585,2,deep,uniform,ellipsoid+sphere,2,2,2,0,0,0,0,1.0,1.0,0.3509954025897338,,SSQ-FMT
sample_0603,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.7903725050699114,,SSQ-FMT
sample_0610,2,medium,uniform,sphere,2,1,1,1,0,1,0,0.5,1.0,0.5395178197064989,,SSQ-FMT
sample_0626,3,shallow,uniform,ellipsoid+sphere,3,3,3,0,0,0,0,1.0,1.0,0.3117786375241733,,SSQ-FMT
sample_0633,2,medium,uniform,irregular+sphere,2,2,2,0,0,0,0,1.0,1.0,0.5329982675668241,,SSQ-FMT
sample_0646,3,deep,uniform,ellipsoid+irregular,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.769117191652025,,SSQ-FMT
sample_0647,3,deep,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.7694858499586847,,SSQ-FMT
sample_0652,3,medium,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,1,0,0.6666666666666666,1.0,0.5499311781908877,,SSQ-FMT
sample_0661,1,medium,uniform,irregular,1,1,1,0,0,0,0,1.0,1.0,0.8063467995234485,,SSQ-FMT
sample_0666,1,deep,uniform,ellipsoid,1,1,1,0,0,0,0,1.0,1.0,0.6072745558162923,,SSQ-FMT
sample_0674,3,shallow,uniform,ellipsoid+irregular,3,3,3,0,0,0,0,1.0,1.0,0.5185013633817529,,SSQ-FMT
sample_0676,3,medium,uniform,irregular+sphere,2,1,1,1,0,1,0,0.5,1.0,0.5426954732510288,,SSQ-FMT
sample_0681,3,medium,uniform,ellipsoid+irregular+sphere,3,2,2,1,0,0,0,0.6666666666666666,1.0,0.6997586833000375,,SSQ-FMT
