sample_id,number_of_sources,minimum_inter_source_distance_mm,weak_to_dominant_intensity_ratio,minimum_source_volume,shape_set,source_type,metadata_missing
sample_0858,3,10.697663296253069,0.5182959251211388,3678.0,,uniform,False
sample_0860,3,7.6837490849194205,0.583160485068355,1504.0,,uniform,False
sample_0867,3,6.893475175845635,0.7780838606981993,2412.0,,uniform,False
sample_0870,3,5.858327406350721,0.734872152369636,1088.0,,uniform,False
sample_0875,3,8.170679286326202,0.6128474432574942,1088.0,,uniform,False
sample_0881,3,5.067543783727972,0.5214971605387212,26216.0,,uniform,False
sample_0895,2,20.83266665599966,0.8431858821940668,5616.0,,uniform,False
sample_0911,2,16.24930767755968,0.9635631066224482,7088.0,,uniform,False
sample_0913,2,18.089776118017603,0.4596035070760091,1384.0,,uniform,False
sample_0914,1,,1.0,3712.0,,uniform,False
sample_0920,1,,1.0,5040.0,,uniform,False
sample_0932,1,,1.0,2233.0,,uniform,False
sample_0942,2,17.76063061943466,0.6373712577526622,2475.0,,uniform,False
sample_0953,1,,1.0,17720.0,,uniform,False
sample_0960,1,,1.0,6056.0,,uniform,False
sample_0974,2,11.46472851837321,0.8588533575388163,984.0,,uniform,False
sample_0977,3,8.106787279804495,0.532594836902992,5040.0,,uniform,False
sample_0979,1,,1.0,5520.0,,uniform,False
sample_1000,3,5.574943945906542,0.5335892542941105,639.0,,uniform,False
sample_1002,2,4.237924020083422,0.9390239201939343,18037.0,,uniform,False
sample_1003,3,6.876045375068432,0.5271914780273269,4416.0,,uniform,False
sample_1015,3,3.6110940170535586,0.47162250334534994,1016.0,,uniform,False
sample_1018,1,,1.0,6048.0,,uniform,False
sample_1028,2,10.461357464497617,0.9245665860729793,672.0,,uniform,False
sample_1068,3,8.901685233707155,0.4257236727131882,624.0,,uniform,False
sample_1069,3,11.15347479487895,0.7148932396706305,4776.0,,uniform,False
sample_1072,3,6.764613810115106,0.8436671568817132,840.0,,uniform,False
sample_1078,2,8.54400374531753,0.8643636592448681,3912.0,,uniform,False
sample_1081,2,5.223025942880238,0.5652438711088008,15984.0,,uniform,False
sample_1085,2,15.596153371905524,0.35393235505974513,8171.0,,uniform,False
sample_1086,2,16.615655268450894,0.7228169001016791,848.0,,uniform,False
sample_1092,3,10.875660899458019,0.7695215405497813,2947.0,,uniform,False
sample_1093,2,17.805617091243988,0.6360987363983946,3016.0,,uniform,False
sample_1096,2,10.943491216243563,0.4390098666794439,2760.0,,uniform,False
sample_1112,3,6.248199740725324,0.5018662836459203,1376.0,,uniform,False
sample_1126,1,,1.0,4267.0,,uniform,False
sample_1133,1,,1.0,4956.0,,uniform,False
sample_1135,3,3.8418745424597103,0.8344160538504245,2440.0,,uniform,False
sample_1139,1,,1.0,3424.0,,uniform,False
sample_1167,2,11.518680479985544,0.5634975639357582,2800.0,,uniform,False
sample_1175,1,,1.0,5805.0,,uniform,False
sample_1185,2,10.64894360957931,0.5608410496496863,1354.0,,uniform,False
sample_1211,1,,1.0,5669.0,,uniform,False
sample_1215,2,12.074767078498866,0.5088373692640419,720.0,,uniform,False
sample_1230,3,10.667708282475669,0.4035806482835489,552.0,,uniform,False
sample_1244,1,,1.0,6272.0,,uniform,False
sample_1259,2,15.942396306703706,0.7784204569611174,2579.0,,uniform,False
sample_1262,1,,1.0,4445.0,,uniform,False
sample_1266,2,8.260750571225355,0.5048381155286213,968.0,,uniform,False
sample_1276,1,,1.0,3675.0,,uniform,False
sample_1285,2,14.051334456200237,0.8410111329475862,1810.0,,uniform,False
sample_1286,1,,1.0,19477.0,,uniform,False
sample_1288,1,,1.0,4546.0,,uniform,False
sample_1292,1,,1.0,7923.0,,uniform,False
sample_1319,1,,1.0,4368.0,,uniform,False
sample_1327,3,8.430895563343197,0.6339124810108131,2464.0,,uniform,False
sample_1328,1,,1.0,5543.0,,uniform,False
sample_1366,2,10.488088481701517,0.8686947261481086,1376.0,,uniform,False
sample_1372,2,15.67801007781281,0.806728720172337,456.0,,uniform,False
sample_1378,3,7.161005515987264,0.8380373033091514,1280.0,,uniform,False
sample_1384,2,7.28285658241325,0.5956003137356721,910.0,,uniform,False
sample_1389,2,7.318469785412796,0.7133893693654707,5696.0,,uniform,False
sample_1404,3,6.770524351924305,0.8538942715839237,1136.0,,uniform,False
sample_1429,2,15.02797391533536,0.9463119907101398,1080.0,,uniform,False
sample_1432,2,4.054626986542656,0.8730211389899424,552.0,,uniform,False
sample_1438,1,,1.0,1987.0,,uniform,False
sample_1455,2,5.6178287620752565,0.6019996244972017,1896.0,,uniform,False
sample_1470,3,4.014971979976947,0.39537838654862534,840.0,,uniform,False
sample_1482,3,6.749814812274484,0.9018626267284662,1904.0,,uniform,False
sample_1486,2,14.770240350109408,0.6794761724265708,4547.0,,uniform,False
sample_1513,3,4.770744176750624,0.5489695699684328,2520.0,,uniform,False
sample_1516,3,5.692099788303083,0.8266027235686912,624.0,,uniform,False
sample_1529,2,6.2545983084447565,0.6960720211155319,3016.0,,uniform,False
sample_1566,3,5.418486873657627,0.36357357879154334,1328.0,,uniform,False
sample_1572,2,23.03736095997109,0.47547708696522695,360.0,,uniform,False
sample_1599,3,7.655063683601854,0.799283518665475,932.0,,uniform,False
sample_1620,2,6.199999999999999,0.5396368866411655,4784.0,,uniform,False
sample_1634,1,,1.0,3646.0,,uniform,False
sample_1635,3,4.48998886412873,0.896254756552243,920.0,,uniform,False
sample_1642,2,8.78179936004006,0.8561007961763093,598.0,,uniform,False
sample_1643,3,4.242640687119284,0.7941970825011716,1568.0,,uniform,False
sample_1683,1,,1.0,3882.0,,uniform,False
sample_1686,2,15.327100182356743,0.9228164543355118,5192.0,,uniform,False
sample_1688,3,10.295630140987,0.5776672536843172,2985.0,,uniform,False
sample_1697,2,12.655433615645101,0.8901387732095972,1568.0,,uniform,False
sample_1717,3,11.953242237987148,0.45198792791491155,1576.0,,uniform,False
sample_1718,3,6.805879810869421,0.6669860748031634,1984.0,,uniform,False
sample_1729,2,17.62498226949463,0.5207596662815704,2456.0,,uniform,False
sample_1731,2,8.027452896155792,0.69130054445513,552.0,,uniform,False
sample_1734,2,7.531268153505093,0.8343735085691213,1907.0,,uniform,False
sample_1741,3,6.624198064671676,0.5622079859326863,6337.0,,uniform,False
sample_1760,3,11.023611023616537,0.7831997127421805,1544.0,,uniform,False
sample_1765,1,,1.0,13136.0,,uniform,False
sample_1787,2,24.358981916328116,0.8121512189182276,624.0,,uniform,False
sample_1809,1,,1.0,7568.0,,uniform,False
sample_1811,2,12.671227249165726,0.8624015812725802,1328.0,,uniform,False
sample_1812,1,,1.0,12888.0,,uniform,False
sample_1815,3,6.131883886702357,0.8790388477208405,824.0,,uniform,False
sample_1826,2,14.05560386465128,0.3831943711865958,2512.0,,uniform,False
sample_1837,2,20.631044568804555,0.48347632700912585,1328.0,,uniform,False
sample_1839,1,,1.0,7960.0,,uniform,False
sample_1843,1,,1.0,5408.0,,uniform,False
sample_1858,3,7.194442299441978,0.6344538156634492,2616.0,,uniform,False
sample_1863,2,11.016351483136331,0.5217782047181909,2096.0,,uniform,False
sample_1865,2,14.601369798755183,0.6539346467752807,5400.0,,uniform,False
sample_1869,3,3.2124756808418033,0.8561473285375342,2872.0,,uniform,False
sample_1881,2,14.328991590478376,0.8418388597940771,672.0,,uniform,False
sample_1885,3,6.289674077406554,0.622173536031906,5400.0,,uniform,False
sample_1893,1,,1.0,5440.0,,uniform,False
sample_1894,1,,1.0,3120.0,,uniform,False
sample_1904,1,,1.0,5832.0,,uniform,False
sample_1927,3,4.166533331199932,0.4581275322371762,480.0,,uniform,False
sample_1944,2,11.074294559925704,0.8652735517941249,2008.0,,uniform,False
sample_1989,2,22.02362368003958,0.8034103913921298,3328.0,,uniform,False
sample_1993,3,6.251399843235115,0.5848849697653535,3504.0,,uniform,False
sample_2021,3,6.660330322138685,0.47573478459760465,664.0,,uniform,False
sample_2024,2,5.868560300448484,0.6308049372547393,5043.0,,uniform,False
sample_2044,2,29.697811367169802,0.4073552397960525,1280.0,,uniform,False
sample_2059,3,11.766052864066184,0.5494612196253774,2485.0,,uniform,False
sample_2067,3,10.669582934679314,0.7274754645132535,6496.0,,uniform,False
sample_2069,2,16.773789077009408,0.8690555929410789,1208.0,,uniform,False
sample_2070,2,10.495713410721539,0.7615384332518227,1328.0,,uniform,False
sample_2072,3,4.690415759823431,0.6578092328373906,2512.0,,uniform,False
sample_2077,3,7.9548727205405365,0.6505902502542552,5222.0,,uniform,False
sample_2079,2,18.58709229546138,0.3471666397797968,624.0,,uniform,False
sample_2086,1,,1.0,6704.0,,uniform,False
sample_2087,2,7.769169839822015,0.8546772608723772,1384.0,,uniform,False
sample_2111,2,5.495452665613634,0.901282071088409,304.0,,uniform,False
sample_2119,2,14.715977711317722,0.5823731681258241,3016.0,,uniform,False
sample_2121,2,13.125547607623844,0.8818858815143926,11272.0,,uniform,False
sample_2129,3,3.2186953878862177,0.7661480639500602,2608.0,,uniform,False
sample_2166,3,4.1999999999999975,0.5220395296252011,664.0,,uniform,False
sample_2167,1,,1.0,5848.0,,uniform,False
sample_2172,1,,1.0,7128.0,,uniform,False
sample_2175,2,6.572670690061991,0.8488627094381835,2320.0,,uniform,False
sample_2196,3,10.892199043352083,0.5291334153045232,1088.0,,uniform,False
sample_2199,2,13.770983988081609,0.6407698019377251,5400.0,,uniform,False
sample_2202,2,13.093509842666327,0.8760511989490445,1568.0,,uniform,False
sample_2207,2,12.247448713915894,0.5821646830866765,1736.0,,uniform,False
sample_2208,3,8.390470785361213,0.39256892676374794,809.0,,uniform,False
sample_2209,1,,1.0,4632.0,,uniform,False
sample_2225,3,9.99599919967984,0.5663287734850372,1640.0,,uniform,False
sample_2234,2,5.7965506984757775,0.9853373014514328,4032.0,,uniform,False
